user_id,conversation_id,conversation_mode,message_id,message_type,is_student,message_text,msg_length,ts_created,date_created
10295811,conv_10295811_1,casa,msg_10295811_0001,student,1,como resuelvo esto,18,2026-04-14 15:38:50,
10295811,conv_10295811_1,casa,msg_10295811_0002,ai,0,Aplica la formula directamente: a/b = c/d.,42,.,
10295811,conv_10295811_1,casa,msg_10295811_0003,student,1,esa respuesta es correcta?,26,2026-05-05 23:22:27,
10295811,conv_10295811_1,casa,msg_10295811_0004,ai,0,Buen intento! Revisa el signo en el segundo paso.,49,2026-05-03 17:42:27,
10295811,conv_10295811_2,casa,msg_10295811_0005,student,1,como simplifico esa fraccion,28,.,
10295811,conv_10295811_2,casa,msg_10295811_0006,ai,0,Intentalo de nuevo aplicando lo que vimos.,42,2026-04-29 17:26:32,
10295811,conv_10295811_2,casa,msg_10295811_0007,student,1,ayuda con factorizacion,23,2026-05-05 19:04:40,
10295811,conv_10295811_2,casa,msg_10295811_0008,ai,0,Te dare una pista: factoriza primero.,37,2026-04-22 20:17:30,
10295811,conv_10295811_3,casa,msg_10295811_0009,student,1,no entendi la regla de tres,27,2026-03-28 14:22:29,
10295811,conv_10295811_3,casa,msg_10295811_0010,ai,0,Empieza por aislar la variable x.,33,2026-04-21 20:22:15,
10295811,conv_10295811_3,casa,msg_10295811_0011,student,1,como se hace,12,.,
10295811,conv_10295811_3,casa,msg_10295811_0012,ai,0,Cual paso te genera dudas?,26,2026-05-04 19:13:48,
10295811,conv_10295811_4,casa,msg_10295811_0013,student,1,me cuesta esta parte,20,2026-04-05 15:38:00,
10295811,conv_10295811_4,casa,msg_10295811_0014,ai,0,Dejame mostrarte un ejemplo similar.,36,2026-03-27 17:22:01,
10295811,conv_10295811_4,casa,msg_10295811_0015,student,1,no entiendo este problema,25,2026-04-09 22:38:02,
10508297,conv_10508297_1,casa,msg_10508297_0001,student,1,como resuelvo esto,18,2026-05-01 20:55:28,
10508297,conv_10508297_1,casa,msg_10508297_0002,ai,0,Aplica la formula directamente: a/b = c/d.,42,2026-04-27 20:15:32,
10508297,conv_10508297_1,casa,msg_10508297_0003,student,1,esa respuesta es correcta?,26,2026-04-20 18:46:32,
10508297,conv_10508297_1,casa,msg_10508297_0004,ai,0,Buen intento! Revisa el signo en el segundo paso.,49,2026-05-02 21:51:52,
10508297,conv_10508297_2,casa,msg_10508297_0005,student,1,como simplifico esa fraccion,28,2026-04-03 20:18:24,
10508297,conv_10508297_2,casa,msg_10508297_0006,ai,0,Intentalo de nuevo aplicando lo que vimos.,42,2026-04-21 15:16:25,
10508297,conv_10508297_2,casa,msg_10508297_0007,student,1,ayuda con factorizacion,23,2026-05-08 22:55:03,
10508297,conv_10508297_2,casa,msg_10508297_0008,ai,0,Te dare una pista: factoriza primero.,37,.,
