user_id,user_answer_id,topic_name,subtopic,question_text,is_correct,answer_status,answer_option_text,answer_feedback,ts_created,date_created
10295811,ans_10295811_0001,Algebra,Ecuaciones,Que es 1/2 + 1/4?,0,INCORRECT,b) 3/4,Incorrecto.,2026-03-24 09:59:44,
10295811,ans_10295811_0002,Geometria,Areas,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-03-30 11:37:52,
10295811,ans_10295811_0003,Probabilidad,Probabilidad simple,Area del cuadrado de lado 4,0,INCORRECT,d) 5,Incorrecto.,2026-04-11 12:23:24,
10295811,ans_10295811_0004,Estadistica,Media,10% de 50,1,CORRECT,a) 25,Correcto.,2026-04-07 14:42:36,
10508297,ans_10508297_0001,Funciones,Pendiente,Si 3 es par o impar,0,INCORRECT,b) impar,Incorrecto.,2026-05-09 09:22:01,
10508297,ans_10508297_0002,Aritmetica,Porcentajes,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-04-22 18:08:36,
10508297,ans_10508297_0003,Algebra,Fracciones,Que es 1/2 + 1/4?,0,INCORRECT,b) 3/4,Incorrecto.,2026-03-28 15:43:19,
10508297,ans_10508297_0004,Geometria,Ecuaciones,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-04-10 15:42:35,
10508297,ans_10508297_0005,Probabilidad,Areas,Area del cuadrado de lado 4,1,CORRECT,d) 5,Correcto.,2026-03-26 09:19:37,
10508297,ans_10508297_0006,Estadistica,Probabilidad simple,10% de 50,0,INCORRECT,a) 25,Incorrecto.,2026-04-16 08:58:16,
10522580,ans_10522580_0001,Funciones,Media,Si 3 es par o impar,0,INCORRECT,b) impar,Incorrecto.,2026-04-28 21:05:23,
10522580,ans_10522580_0002,Aritmetica,Pendiente,Cuanto es 2+3?,0,INCORRECT,a) 5,Incorrecto.,2026-05-12 17:58:34,
10522580,ans_10522580_0003,Algebra,Porcentajes,Que es 1/2 + 1/4?,1,CORRECT,b) 3/4,Correcto.,2026-04-20 13:07:56,
10522580,ans_10522580_0004,Geometria,Fracciones,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-04-17 20:34:45,
10522580,ans_10522580_0005,Probabilidad,Ecuaciones,Area del cuadrado de lado 4,1,CORRECT,d) 5,Correcto.,2026-04-21 19:23:16,
10522580,ans_10522580_0006,Estadistica,Areas,10% de 50,1,CORRECT,a) 25,Correcto.,2026-03-27 14:49:06,
10522580,ans_10522580_0007,Funciones,Probabilidad simple,Si 3 es par o impar,0,INCORRECT,b) impar,Incorrecto.,2026-04-18 19:33:11,
10522580,ans_10522580_0008,Aritmetica,Media,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-04-13 21:41:51,
10522580,ans_10522580_0009,Algebra,Pendiente,Que es 1/2 + 1/4?,0,INCORRECT,b) 3/4,Incorrecto.,2026-03-31 15:22:29,
10632252,ans_10632252_0001,Geometria,Porcentajes,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-04-27 14:19:27,
10632252,ans_10632252_0002,Probabilidad,Fracciones,Area del cuadrado de lado 4,1,CORRECT,d) 5,Correcto.,2026-03-29 11:20:47,
10632252,ans_10632252_0003,Estadistica,Ecuaciones,10% de 50,1,CORRECT,a) 25,Correcto.,2026-04-26 10:58:52,
10632252,ans_10632252_0004,Funciones,Areas,Si 3 es par o impar,1,CORRECT,b) impar,Correcto.,2026-04-11 19:11:54,
10632252,ans_10632252_0005,Aritmetica,Probabilidad simple,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-03-30 10:17:02,
10632252,ans_10632252_0006,Algebra,Media,Que es 1/2 + 1/4?,1,CORRECT,b) 3/4,Correcto.,2026-04-21 14:34:55,
10632252,ans_10632252_0007,Geometria,Pendiente,Resuelve x+5=10,0,INCORRECT,c) 16,Incorrecto.,2026-04-26 16:57:08,
10632252,ans_10632252_0008,Probabilidad,Porcentajes,Area del cuadrado de lado 4,0,INCORRECT,d) 5,Incorrecto.,2026-05-05 10:07:16,
10632252,ans_10632252_0009,Estadistica,Fracciones,10% de 50,0,INCORRECT,a) 25,Incorrecto.,2026-04-12 18:36:34,
10632252,ans_10632252_0010,Funciones,Ecuaciones,Si 3 es par o impar,1,CORRECT,b) impar,Correcto.,2026-04-23 14:05:44,
10658482,ans_10658482_0001,Aritmetica,Areas,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-05-05 20:32:03,
10658482,ans_10658482_0002,Algebra,Probabilidad simple,Que es 1/2 + 1/4?,1,CORRECT,b) 3/4,Correcto.,2026-04-19 12:59:35,
10664234,ans_10664234_0001,Geometria,Media,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-04-04 09:27:01,
10664234,ans_10664234_0002,Probabilidad,Pendiente,Area del cuadrado de lado 4,1,CORRECT,d) 5,Correcto.,2026-04-23 11:06:36,
10664234,ans_10664234_0003,Estadistica,Porcentajes,10% de 50,0,INCORRECT,a) 25,Incorrecto.,2026-05-02 10:15:00,
10664234,ans_10664234_0004,Funciones,Fracciones,Si 3 es par o impar,1,CORRECT,b) impar,Correcto.,2026-04-21 15:05:30,
10664234,ans_10664234_0005,Aritmetica,Ecuaciones,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-04-23 15:41:51,
10664234,ans_10664234_0006,Algebra,Areas,Que es 1/2 + 1/4?,1,CORRECT,b) 3/4,Correcto.,2026-04-19 17:54:30,
10664234,ans_10664234_0007,Geometria,Probabilidad simple,Resuelve x+5=10,0,INCORRECT,c) 16,Incorrecto.,2026-04-27 14:04:10,
10664234,ans_10664234_0008,Probabilidad,Media,Area del cuadrado de lado 4,0,INCORRECT,d) 5,Incorrecto.,2026-04-29 13:52:27,
10664234,ans_10664234_0009,Estadistica,Pendiente,10% de 50,0,INCORRECT,a) 25,Incorrecto.,2026-04-16 12:03:58,
10767552,ans_10767552_0001,Funciones,Porcentajes,Si 3 es par o impar,1,CORRECT,b) impar,Correcto.,2026-04-15 13:23:00,
10767552,ans_10767552_0002,Aritmetica,Fracciones,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-04-22 21:55:48,
10767552,ans_10767552_0003,Algebra,Ecuaciones,Que es 1/2 + 1/4?,1,CORRECT,b) 3/4,Correcto.,2026-05-11 18:55:46,
10767552,ans_10767552_0004,Geometria,Areas,Resuelve x+5=10,0,INCORRECT,c) 16,Incorrecto.,2026-04-09 09:01:01,
10767552,ans_10767552_0005,Probabilidad,Probabilidad simple,Area del cuadrado de lado 4,1,CORRECT,d) 5,Correcto.,2026-03-24 15:27:25,
10767552,ans_10767552_0006,Estadistica,Media,10% de 50,1,CORRECT,a) 25,Correcto.,2026-04-09 15:12:24,
10875238,ans_10875238_0001,Funciones,Pendiente,Si 3 es par o impar,0,INCORRECT,b) impar,Incorrecto.,2026-04-06 19:42:16,
10875238,ans_10875238_0002,Aritmetica,Porcentajes,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-04-06 09:21:52,
10875238,ans_10875238_0003,Algebra,Fracciones,Que es 1/2 + 1/4?,0,INCORRECT,b) 3/4,Incorrecto.,2026-04-16 07:59:18,
10875238,ans_10875238_0004,Geometria,Ecuaciones,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-04-29 18:16:47,
10875238,ans_10875238_0005,Probabilidad,Areas,Area del cuadrado de lado 4,1,CORRECT,d) 5,Correcto.,2026-05-01 14:06:58,
10927250,ans_10927250_0001,Estadistica,Probabilidad simple,10% de 50,1,CORRECT,a) 25,Correcto.,2026-03-29 21:49:56,
10927250,ans_10927250_0002,Funciones,Media,Si 3 es par o impar,1,CORRECT,b) impar,Correcto.,2026-05-02 09:22:35,
10927250,ans_10927250_0003,Aritmetica,Pendiente,Cuanto es 2+3?,1,CORRECT,a) 5,Correcto.,2026-03-30 09:07:08,
10927250,ans_10927250_0004,Algebra,Porcentajes,Que es 1/2 + 1/4?,0,INCORRECT,b) 3/4,Incorrecto.,2026-04-16 11:57:24,
10927250,ans_10927250_0005,Geometria,Fracciones,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-04-20 19:04:00,
10927250,ans_10927250_0006,Probabilidad,Ecuaciones,Area del cuadrado de lado 4,0,INCORRECT,d) 5,Incorrecto.,2026-04-15 18:37:34,
11014908,ans_11014908_0001,Estadistica,Areas,10% de 50,0,INCORRECT,a) 25,Incorrecto.,2026-04-11 18:56:37,
11115821,ans_11115821_0001,Funciones,Probabilidad simple,Si 3 es par o impar,1,CORRECT,b) impar,Correcto.,2026-04-16 18:26:15,
11179800,ans_11179800_0001,Aritmetica,Media,Cuanto es 2+3?,0,INCORRECT,a) 5,Incorrecto.,2026-04-29 15:50:25,
11179800,ans_11179800_0002,Algebra,Pendiente,Que es 1/2 + 1/4?,1,CORRECT,b) 3/4,Correcto.,2026-03-27 11:56:31,
11179800,ans_11179800_0003,Geometria,Porcentajes,Resuelve x+5=10,1,CORRECT,c) 16,Correcto.,2026-04-08 11:23:25,
11179800,ans_11179800_0004,Probabilidad,Fracciones,Area del cuadrado de lado 4,1,CORRECT,d) 5,Correcto.,2026-05-07 18:11:27,
