user_id,conversation_id,conversation_mode,message_id,message_type,is_student,message_text,topic_name,subtopic_name,question_text,is_correct,answer_correct,answer_option_text,answer_feedback,ts_created,date_created
10295811,conv_esc_10295811_1,escuela,msg_esc_10295811_0001,student,1,Como resuelvo esta pregunta?,Algebra,Ecuaciones lineales,Que porcentaje de 80 es 20?,1,True,b) 10,Correcto! Bien hecho.,2026-05-06 10:30:55,
10295811,conv_esc_10295811_1,escuela,msg_esc_10295811_0002,ai,0,Vamos a resolverlo paso a paso.,Geometria,Areas y perimetros,Calcula el area del rectangulo de lados 5 y 8,0,False,c) 25,Incorrecto. Revisa el procedimiento.,2026-04-18 08:50:56,
10295811,conv_esc_10295811_1,escuela,msg_esc_10295811_0003,student,1,Como resuelvo esta pregunta?,Probabilidad,Probabilidad simple,Si 3/4 de un numero es 12 cual es el numero?,0,False,d) 30,Incorrecto. Revisa el procedimiento.,2026-04-24 08:18:00,
10508297,conv_esc_10508297_1,escuela,msg_esc_10508297_0001,student,1,Como resuelvo esta pregunta?,Estadistica,Medidas centrales,Probabilidad de obtener par en un dado,0,False,a) 0.5,Incorrecto. Revisa el procedimiento.,2026-04-21 12:41:19,
10508297,conv_esc_10508297_1,escuela,msg_esc_10508297_0002,ai,0,Vamos a resolverlo paso a paso.,Funciones,Pendiente,Resuelve x^2 - 9 = 0,1,True,b) 0.25,Correcto! Bien hecho.,2026-03-30 14:37:00,
10508297,conv_esc_10508297_1,escuela,msg_esc_10508297_0003,student,1,Como resuelvo esta pregunta?,Aritmetica,Porcentajes,Cuanto es 15% de 200?,0,False,c) 16,Incorrecto. Revisa el procedimiento.,2026-04-04 15:05:37,
10508297,conv_esc_10508297_2,escuela,msg_esc_10508297_0004,ai,0,Vamos a resolverlo paso a paso.,Algebra,Sistemas de ecuaciones,Razon entre 4 y 12,1,True,d) 4,Correcto! Bien hecho.,2026-04-12 08:13:58,
10508297,conv_esc_10508297_2,escuela,msg_esc_10508297_0005,student,1,Como resuelvo esta pregunta?,Geometria,Razones y proporciones,Cual es el valor de x si 2x+5=15?,1,True,a) 5,Correcto! Bien hecho.,2026-04-20 12:50:27,
10508297,conv_esc_10508297_2,escuela,msg_esc_10508297_0006,ai,0,Vamos a resolverlo paso a paso.,Probabilidad,Fracciones,Que porcentaje de 80 es 20?,0,False,b) 10,Incorrecto. Revisa el procedimiento.,2026-04-06 13:09:03,
10508297,conv_esc_10508297_3,escuela,msg_esc_10508297_0007,student,1,Como resuelvo esta pregunta?,Estadistica,Ecuaciones lineales,Calcula el area del rectangulo de lados 5 y 8,1,True,c) 25,Correcto! Bien hecho.,2026-05-08 12:23:43,
10508297,conv_esc_10508297_3,escuela,msg_esc_10508297_0008,ai,0,Vamos a resolverlo paso a paso.,Funciones,Areas y perimetros,Si 3/4 de un numero es 12 cual es el numero?,1,True,d) 30,Correcto! Bien hecho.,2026-04-27 09:48:34,
10508297,conv_esc_10508297_3,escuela,msg_esc_10508297_0009,student,1,Como resuelvo esta pregunta?,Aritmetica,Probabilidad simple,Probabilidad de obtener par en un dado,1,True,a) 0.5,Correcto! Bien hecho.,2026-05-04 12:38:24,
10508297,conv_esc_10508297_4,escuela,msg_esc_10508297_0010,ai,0,Vamos a resolverlo paso a paso.,Algebra,Medidas centrales,Resuelve x^2 - 9 = 0,1,True,b) 0.25,Correcto! Bien hecho.,2026-05-08 13:31:27,
10508297,conv_esc_10508297_4,escuela,msg_esc_10508297_0011,student,1,Como resuelvo esta pregunta?,Geometria,Pendiente,Cuanto es 15% de 200?,1,True,c) 16,Correcto! Bien hecho.,2026-04-09 11:47:03,
10508297,conv_esc_10508297_4,escuela,msg_esc_10508297_0012,ai,0,Vamos a resolverlo paso a paso.,Probabilidad,Porcentajes,Razon entre 4 y 12,1,True,d) 4,Correcto! Bien hecho.,2026-03-24 11:44:35,
10522580,conv_esc_10522580_1,escuela,msg_esc_10522580_0001,student,1,Como resuelvo esta pregunta?,Estadistica,Sistemas de ecuaciones,Cual es el valor de x si 2x+5=15?,1,True,a) 5,Correcto! Bien hecho.,2026-05-07 15:42:54,
10632252,conv_esc_10632252_1,escuela,msg_esc_10632252_0001,student,1,Como resuelvo esta pregunta?,Funciones,Razones y proporciones,Que porcentaje de 80 es 20?,1,True,b) 10,Correcto! Bien hecho.,2026-03-31 15:55:15,
10632252,conv_esc_10632252_1,escuela,msg_esc_10632252_0002,ai,0,Vamos a resolverlo paso a paso.,Aritmetica,Fracciones,Calcula el area del rectangulo de lados 5 y 8,0,False,c) 25,Incorrecto. Revisa el procedimiento.,2026-04-08 10:57:12,
10632252,conv_esc_10632252_1,escuela,msg_esc_10632252_0003,student,1,Como resuelvo esta pregunta?,Algebra,Ecuaciones lineales,Si 3/4 de un numero es 12 cual es el numero?,1,True,d) 30,Correcto! Bien hecho.,2026-05-03 12:01:39,
10632252,conv_esc_10632252_2,escuela,msg_esc_10632252_0004,ai,0,Vamos a resolverlo paso a paso.,Geometria,Areas y perimetros,Probabilidad de obtener par en un dado,1,True,a) 0.5,Correcto! Bien hecho.,2026-04-04 14:21:56,
10632252,conv_esc_10632252_2,escuela,msg_esc_10632252_0005,student,1,Como resuelvo esta pregunta?,Probabilidad,Probabilidad simple,Resuelve x^2 - 9 = 0,1,True,b) 0.25,Correcto! Bien hecho.,2026-04-27 10:01:41,
10632252,conv_esc_10632252_2,escuela,msg_esc_10632252_0006,ai,0,Vamos a resolverlo paso a paso.,Estadistica,Medidas centrales,Cuanto es 15% de 200?,1,True,c) 16,Correcto! Bien hecho.,2026-04-06 09:59:00,
10632252,conv_esc_10632252_3,escuela,msg_esc_10632252_0007,student,1,Como resuelvo esta pregunta?,Funciones,Pendiente,Razon entre 4 y 12,0,False,d) 4,Incorrecto. Revisa el procedimiento.,2026-03-27 14:31:37,
